location,session_number,waypoint_id,waypoint_name,theoretical_latitude,theoretical_longitude,measured_latitude,measured_longitude,timestamp,cloud_coverage
lln,1,4,photo_3,50.66868416479492,4.616711684018372,50.66858715,4.61659962,2025.12.12_12.53.48,4
lln,1,5,end,50.66920517001076,4.616201363656504,50.669193,4.616178,2025.12.12_12.54.43,4
lln,2,1,start,50.668497376445664,4.621907879644158,50.668512,4.62202,2025.12.23_15.14.03,5
lln,2,2,photo_1,50.66782743248668,4.623990246719624,50.6678382,4.6239609,2025.12.23_15.16.19,5
lln,2,3,photo_2,50.66808413056815,4.618576928513229,50.668108,4.618700700000001,2025.12.23_15.20.20,5
lln,2,4,photo_3,50.66868416479492,4.616711684018372,50.6687174,4.616707300000001,2025.12.23_15.22.16,5
lln,2,5,end,50.66920517001076,4.616201363656504,50.669233,4.616226,2025.12.23_15.23.07,5
lln,3,1,start,50.668497376445664,4.621907879644158,50.668415,4.621913,2025.12.17_17.29.05,3
lln,3,2,photo_1,50.66782743248668,4.623990246719624,50.6679317,4.6239983,2025.12.17_17.31.39,3
lln,3,3,photo_2,50.66808413056815,4.618576928513229,50.668065999999996,4.6186451,2025.12.17_17.36.01,3
lln,3,4,photo_3,50.66868416479492,4.616711684018372,50.6686774,4.616738300000001,2025.12.17_17.38.02,3
lln,3,5,end,50.66920517001076,4.616201363656504,50.669181,4.616267,2025.12.17_17.38.50,3
lln,4,1,start,50.668497376445664,4.621907879644158,50.668497,4.621969,2025.12.19_11.46.52,2
lln,4,2,photo_1,50.66782743248668,4.623990246719624,50.6679086,4.6240135,2025.12.19_11.49.09,2
lln,4,3,photo_2,50.66808413056815,4.618576928513229,50.668095199999996,4.6186385,2025.12.19_11.53.22,2
lln,4,4,photo_3,50.66868416479492,4.616711684018372,50.6687253,4.616728,2025.12.19_11.55.22,2
lln,4,5,end,50.66920517001076,4.616201363656504,50.669275,4.616314,2025.12.19_11.56.10,2
lln,5,1,start,50.668497376445664,4.621907879644158,50.668493,4.62202,2025.12.19_15.52.32,5
lln,5,2,photo_1,50.66782743248668,4.623990246719624,50.6678693,4.6239954,2025.12.19_15.55.02,5
lln,5,3,photo_2,50.66808413056815,4.618576928513229,50.668100499999994,4.6185784000000005,2025.12.19_15.59.13,5
lln,5,4,photo_3,50.66868416479492,4.616711684018372,50.6687963,4.6167417,2025.12.19_16.01.12,5
lln,5,5,end,50.66920517001076,4.616201363656504,50.669202,4.616261,2025.12.19_16.01.59,5
waha,1,1,start,50.21035236797662,5.343140548012982,50.210333,5.343176,2025.12.13_10.56.45,4
waha,1,2,photo_1,50.20764419565977,5.343435100323416,50.207667300000004,5.3434767999999995,2025.12.13_11.00.57,4
waha,1,3,photo_2,50.20693494492415,5.340229753112015,50.206922930000005,5.34026061,2025.12.13_11.03.58,4
waha,1,4,photo_3,50.20748224495819,5.33878899390298,50.2074336,5.3388729,2025.12.13_11.05.54,4
waha,1,5,end,50.20895873990862,5.336776236024819,50.208902,5.336825,2025.12.13_11.08.23,4
waha,2,1,start,50.21035236797662,5.343140548012982,50.210301,5.343212,2025.12.24_11.32.04,4
waha,2,2,photo_1,50.20764419565977,5.343435100323416,50.207614500000005,5.343425099999999,2025.12.24_11.35.47,4
waha,2,3,photo_2,50.20693494492415,5.340229753112015,50.2069142,5.340268699999999,2025.12.24_11.38.30,4
waha,2,4,photo_3,50.20748224495819,5.33878899390298,50.2074196,5.338707899999999,2025.12.24_11.40.17,4
waha,2,5,end,50.20895873990862,5.336776236024819,50.20894,5.33681,2025.12.24_11.42.34,4
waha,3,1,start,50.21035236797662,5.343140548012982,50.210357,5.343197,2025.12.14_10.40.58,1
waha,3,2,photo_1,50.20764419565977,5.343435100323416,50.2077438,5.3434285,2025.12.14_10.44.39,1
waha,3,3,photo_2,50.20693494492415,5.340229753112015,50.2069215,5.3404339,2025.12.14_10.47.27,1
waha,3,4,photo_3,50.20748224495819,5.33878899390298,50.2074961,5.338781699999999,2025.12.14_10.49.13,1
waha,3,5,end,50.20895873990862,5.336776236024819,50.208897,5.336922,2025.12.14_10.51.35,1
waha,4,1,start,50.21035236797662,5.343140548012982,50.2103653,5.343184,2025.12.14_12.09.27,0
waha,4,2,photo_1,50.20764419565977,5.343435100323416,50.207714900000006,5.343421299999999,2025.12.14_12.13.15,0
waha,4,3,photo_2,50.20693494492415,5.340229753112015,50.206896,5.3406879,2025.12.14_12.16.06,0
waha,4,4,photo_3,50.20748224495819,5.33878899390298,50.2074805,5.3388016,2025.12.14_12.17.55,0
waha,4,5,end,50.20895873990862,5.336776236024819,50.208964,5.336803,2025.12.14_12.20.16,0
waha,5,1,start,50.21035236797662,5.343140548012982,50.210323,5.343181,2025.12.14_14.37.55,0
waha,5,2,photo_1,50.20764419565977,5.343435100323416,50.207714800000005,5.3434314,2025.12.14_14.41.42,0
waha,5,3,photo_2,50.20693494492415,5.340229753112015,50.206949400000006,5.340564,2025.12.14_14.44.26,0
waha,5,4,photo_3,50.20748224495819,5.33878899390298,50.2075011,5.338788999999999,2025.12.14_14.46.11,0
waha,5,5,end,50.20895873990862,5.336776236024819,50.208951,5.33679,2025.12.14_14.48.33,0
